snapped_at,price,market_cap,total_volume,SMA_50,SMA_200,EMA_20,EMA_50,BB_Upper,BB_Lower,RSI,MACD_Histogram,OBV,%K,%D
2021-05-30 00:00:00+00:00,2294.626285512794,268672927561.1248,47141249182.27268,2859.1041310189485,1649.8439880339358,2833.449898355333,2775.1621262316544,4109.892791995271,1608.315470042626,31.34003882089047,-253.69939056209728,1457835053676.7068,20.345129610856855,30.238872950553173
2021-05-31 00:00:00+00:00,2395.8532280027384,278270782653.56213,37392021393.940125,2864.1652742711453,1659.5073498153479,2791.774024988419,2760.287267477579,4105.132926908935,1623.1976216333555,33.70798820111506,-260.31569671379305,1495227075070.647,11.780886447346592,21.256330899858554
2021-06-01 00:00:00+00:00,2708.429865793973,314463232386.7883,44445830387.932175,2875.328568731169,1670.7384710464207,2783.8364860175197,2758.2536438821435,4100.019380857689,1650.6377566046494,42.16585435015233,-217.4606250939721,1539672905458.579,21.564760451631326,17.896925503278233
2021-06-02 00:00:00+00:00,2632.6565998696506,306488816882.1444,39898648753.4186,2885.1321752112476,1681.5219085774806,2769.4384016224844,2753.3282696071437,4093.6188181786238,1676.6455322438715,39.545640056431026,-194.7026092309535,1499774256705.1604,46.00367587793539,26.44977425897108
2021-06-03 00:00:00+00:00,2717.1540367097723,315313344228.8267,39148856525.29615,2893.3883856192224,1692.7940867757256,2764.458938297464,2751.9096722386194,4091.2736829974074,1695.5030882410372,53.71406993700264,-172.7053885181092,1538923113230.4565,67.23350940210292,44.933981910556525
2021-06-04 00:00:00+00:00,2858.27670209791,333964598115.05035,38104663185.40115,2901.96068910615,1704.8394362780166,2773.3939634213157,2756.0809283115327,4092.4124482115467,1711.5089300007533,51.46851335573894,-115.02766294980336,1577027776415.8577,78.31592483483956,63.85103670495928
2021-06-05 00:00:00+00:00,2694.4976666790503,312991097366.8545,39996583175.266685,2905.5672741281055,1716.0050686278855,2765.880030398243,2753.665898443592,4092.310587407645,1718.823960848566,55.44614068806218,-97.51203066753578,1537031193240.591,96.82512538923795,80.79151987539346
2021-06-06 00:00:00+00:00,2624.768915059424,302743417251.8253,34731979704.601685,2909.571575535132,1726.717921279565,2752.440876556451,2748.611114781468,4091.0296266426567,1728.1135244276072,56.40551030774062,-90.7635476701056,1502299213535.9893,75.34438730343078,83.49514584250274
2021-06-07 00:00:00+00:00,2711.5479390111605,315044778229.29706,29050162248.93885,2916.8971950598325,1737.8784726678082,2748.546311075947,2747.1576569081226,4088.575521380348,1745.2188687393168,62.39655060703892,-73.30670190840965,1531349375784.9282,66.1989857154873,79.45616613605199
2021-06-08 00:00:00+00:00,2580.5355800598445,299857516850.1987,37385872210.25046,2923.5926915940126,1748.4245607761354,2732.545289074413,2740.6234578160334,4083.3830406459574,1763.8023425420677,48.506917948714076,-75.82317489257684,1493963503574.6777,70.92227648804244,70.82188316898682
